setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2024-12-20,2024-12-23,A17U.SI,CapLand Ascendas REIT,2.3866,2.3772,2.3866,2.4149,2.4055,2.3866,2.4055,1,0.007905,0.0,0.0,Flat,0.5,0.22,0,0,0.62
2024-12-23,2024-12-24,A17U.SI,CapLand Ascendas REIT,2.4149,2.4055,2.4055,2.4338,2.4149,2.4149,2.4149,1,0.0,0.1,0.1,Expanding,0.8,0.12,0,1,0.74
2024-12-26,2024-12-27,A17U.SI,CapLand Ascendas REIT,2.4243,2.4149,2.4243,2.4432,2.4243,2.4243,2.4243,0,-0.0,0.2,0.0,Flat,0.0,0.12,0,1,0.02
2024-12-30,2024-12-31,A17U.SI,CapLand Ascendas REIT,2.4338,2.4243,2.4055,2.4432,2.4243,2.4338,2.4243,0,-0.003876,0.3,0.0,Flat,0.6667,0.28,0,1,0.52
2024-12-31,2025-01-02,A17U.SI,CapLand Ascendas REIT,2.4432,2.4243,2.4337,2.4526,2.4526,2.4432,2.4526,1,0.003861,0.3,0.0,Flat,0.5,0.28,0,1,0.64
2025-01-03,2025-01-06,A17U.SI,CapLand Ascendas REIT,2.4998,2.4903,2.4998,2.5092,2.4903,2.4998,2.4903,0,-0.003774,0.5,0.1,Expanding,0.8,0.28,1,1,0.86
2025-01-13,2025-01-14,A17U.SI,CapLand Ascendas REIT,2.4243,2.4243,2.4149,2.4432,2.396,2.4243,2.396,0,-0.011673,0.2,-0.1,Contracting,1.0,0.28,0,0,0.3
2025-01-16,2025-01-17,A17U.SI,CapLand Ascendas REIT,2.4809,2.4526,2.4432,2.4998,2.462,2.4809,2.462,0,-0.007605,0.2,0.0,Flat,0.5,0.28,1,0,0.92
2025-01-23,2025-01-24,A17U.SI,CapLand Ascendas REIT,2.4432,2.4337,2.4337,2.462,2.4337,2.4432,2.4337,0,-0.003861,0.3,0.0,Flat,0.6667,0.28,0,0,0.54
2025-01-27,2025-01-28,A17U.SI,CapLand Ascendas REIT,2.4432,2.4149,2.4338,2.4903,2.462,2.4432,2.462,1,0.007722,0.3,0.0,Flat,0.25,0.22,0,1,0.84
2025-01-28,2025-01-31,A17U.SI,CapLand Ascendas REIT,2.4903,2.462,2.4903,2.4998,2.4432,2.4903,2.4432,0,-0.01894,0.4,0.1,Expanding,0.5,0.22,1,1,0.92
